Sample_ID,Time_to_CSC_min,Time_to_PSC_min,Time_to_Clinic_min,Time_since_onset_min,CSC_Reachable,PSC_Reachable,Clinic_Reachable,Predicted_Label,Predicted_Action,Diff_CSC_PSC,Diff_CSC_Clinic,Diff_PSC_Clinic,Ratio_CSC_PSC,Ratio_CSC_Clinic,Ratio_PSC_Clinic,Fastest_Reachable_Hospital,Decision_Matches_Fastest_Reachable
1,62.94,48.47,20.77,94.3,true,true,true,1,Route_CSC,14.47,42.17,27.7,1.299,3.03,2.333,Clinic,false
2,63.34,68.79,17.64,247.03,true,true,true,3,Route_Clinic,5.46,45.7,51.15,0.921,3.59,3.899,Clinic,true
3,39.16,24.69,1.08,210.74,true,true,true,3,Route_Clinic,14.47,38.08,23.62,1.586,36.373,22.933,Clinic,true
4,51.73,48.52,13.56,154.19,true,true,true,1,Route_CSC,3.21,38.17,34.96,1.066,3.813,3.577,Clinic,false
5,65.43,50.96,23.26,0.36,true,true,true,1,Route_CSC,14.47,42.17,27.7,1.284,2.813,2.191,Clinic,false
6,28.15,31.55,18.24,52.85,true,true,true,1,Route_CSC,3.4,9.91,13.32,0.892,1.544,1.73,Clinic,false
7,40.11,40.88,16.75,31.0,true,true,true,1,Route_CSC,0.77,23.36,24.13,0.981,2.394,2.44,Clinic,false
8,35.72,19.38,9.32,73.13,true,true,true,1,Route_CSC,16.34,26.4,10.06,1.843,3.831,2.078,Clinic,false
9,56.4,60.2,13.24,243.09,true,true,true,3,Route_Clinic,3.8,43.16,46.96,0.937,4.259,4.547,Clinic,true
10,33.27,15.45,7.66,234.03,true,true,true,3,Route_Clinic,17.82,25.61,7.78,2.154,4.341,2.016,Clinic,true
11,65.7,51.23,23.53,112.32,true,true,true,1,Route_CSC,14.47,42.17,27.7,1.282,2.792,2.177,Clinic,false
12,37.2,37.97,6.68,93.83,true,true,true,1,Route_CSC,0.77,30.52,31.29,0.98,5.568,5.684,Clinic,false
13,47.66,38.68,6.1,118.28,true,true,true,1,Route_CSC,8.98,41.56,32.58,1.232,7.812,6.339,Clinic,false
14,53.73,59.86,28.04,176.8,true,true,true,3,Route_Clinic,6.13,25.7,31.82,0.898,1.916,2.135,Clinic,true
15,7.28,20.13,17.35,106.86,true,true,true,1,Route_CSC,12.84,10.07,2.77,0.362,0.42,1.16,CSC,true
